Show Name,Days Since Launch, Viewing Accounts ,Sonic Show ID
Tut's Toxic Tomb,28," 78,513 ",go-show-24888
Dr. Pimple Popper Pops Shark Week,28," 82,731 ",go-show-21271
Gold Rush: White Water,28," 48,364 ",go-show-12310
Horror At the Cecil Hotel,28," 48,281 ",go-show-2842
Abandoned: Expedition Shipwreck,28," 82,022 ",go-show-21557
"Renovation, Inc: The Beginning",28," 79,071 ",go-show-21899
Great White Comeback,28," 80,424 ",go-show-21230
Extinct or Alive: Jaws of Alaska,28," 80,045 ",go-show-21317
Faking It: R. Kelly,28," 81,258 ",go-show-24491
Renovation Goldmine,28," 81,188 ",go-show-24628
Cake Wars,28," 46,919 ",go-show-12340
Getaway Driver,28," 80,096 ",go-show-21195
The Curse of Oak Island,28," 83,134 ",go-show-23390
Anthony Bourdain: Parts Unknown,28," 80,601 ",go-show-24334
Undercurrent: Real Murder Investigation,28," 78,269 ",go-show-21453
