,TITLE_ID,HOURS_VIEWED,TOTAL_CANCEL,TOTAL_VIEWER
75,GYGYDfAMZDYi0wgEAAACk,21534,899,12597
76,GYQ1Ubg1g9oIfhQEAAAAw,1477,41,830
77,GX1p3Kgc5icMslAEAAAD9,13973,509,13088
78,GXmAuwAxxXp4_wwEAACh0,1948245,12029,202909
79,GYS_bpQGz2MPDwgEAAAAN,86640,415,8879
80,GXqHggg6FbLeIkwEAAAAv,25910,652,10594
81,GXpncJAl458MDYQEAAABm,14960,409,6365
82,GYbfNeQcYnV-ikAEAAAHL,16587,150,2495
83,GXbi0GgxGVaOqkAEAAAc3,3098,69,1044
84,GYKwAygnoqbCBYgEAAAAE,1622,33,1076
85,GXl6lTwJ-TjC3wwEAACcL,118,6,140
86,GVU2yIw2IUoNJjhsJAVWo,260,24,347
87,GXl2MywUlhSLCHAEAAAiR,384,20,348
88,GYWjE5gXB8KTDwgEAAAAT,158,28,693
89,GVnKstQrIiqJeisAIAAhn,75,6,98
90,GXx82gg4CKsPCKAEAAAAX,590,23,531
91,GX0gQ9AKAgr5cuAEAAAG_,156379,572,21243
92,GX2TedgOIjh6fnAEAAAFJ,2648,84,1607
93,GX0_L2Qcat3OVpQEAAAIL,115,3,99
94,GYOh-fw5oc7ihdwEAAAJX,216,8,216
95,GYCRCkQ3a-F6YbQEAAAAX,2,0,7
96,GYit1OwnPiKiUSAEAAABq,7,0,7
97,GYjDZsQoLZYlCwwEAAAAW,6,0,1
98,GYWsaZA4Ie3uTuwEAAADK,1,0,1
99,GX8_d8QZmqYudbQEAAAC1,465512,6586,86519
100,GVU2wKADG81FvjSoJAVPU,242386,1988,46684
101,GYcIzngboecIvwwEAAAAP,111167,3792,61607
102,GVU2g_AGQXI7DwvwIAUSp,1048399,2887,80835
103,GXs7KQwkwtr6jiAEAAALN,1782,33,838
104,GXkyDLAgeBY7CZgEAACHO,87985,645,13952
105,GVU2dJQ6anI7DwvwIAT-a,227604,693,23847
106,GYNNfRQBjQ6yYnQEAAAAs,53143,989,15182
107,GYdXloAoyY5C2hwEAAABO,56782,1514,37252
108,GX8gdaAU20YZDKQEAAADg,3521,222,3815
109,GYPcMIgawIsLCwgEAAACm,12177,352,4421
110,GXyNIuAsYb8J6pQEAAAJR,32204,506,12152
111,GYbuu0gXTMcIZsAEAAAPd,372,55,870
112,GXyniGAhmEcJZOgEAAABz,4802,164,2835
113,GXqc_ng8BD8LDwgEAAAsl,484,26,565
114,GYYLOKAZqKcLDwgEAAAC8,3245,164,2334
115,GXwduGgwuccPDwgEAAAU4,7621,204,2742
116,GXkNXOAsiA4-njwEAABZH,227,9,205
117,GYObjsgIRloMqsQEAAATM,0,0,1
118,GXqdaVAl13r2_wwEAAAsI,941,103,1692
119,GYRsKbA3gmIjDwgEAAAMH,76,3,117
120,GVU2ctwpQioNJjhsJATx0,44,7,78
121,GYCwQ1Qw2FUZWtwEAAAAf,1,0,3
122,GYQLBuAROFDpSKQEAAAAO,0,0,2
123,GWukCJAq-nIuHwwEAAAB4,2547948,11933,353527
124,GXvOCkgtz6sLDGQEAAAI0,12036,572,13172
125,GVU2cggagzYNJjhsJATwo,11703874,36425,722339
126,GXTBqww75Y06olAEAACdn,106214,2429,63985
127,GX8auJwgvI5c0wwEAAAAk,623137,10469,142284
128,GXbDskgCPD3epwwEAAAPe,477487,3654,83132
129,GX0aOXAiLMxTCwwEAAANL,94547,1113,24019
130,GYWhGVgOqIaDCCgEAAAAL,17323,791,11777
131,GXbNBGQfD14NiYAEAAAoJ,22672,1001,16504
132,GX8VicwIYG8LCNwEAAAFT,19891,783,20065
133,GYRWY0wTy06iQrwEAAAAD,43364,1045,15342
134,GXuu7ygQ61cI9DgEAAAAY,65797,2178,36310
135,GYLEgXQmQhL1sggEAAAKJ,26211,557,8338
136,GXajjjg4yklOfqwEAAAjT,74176,1090,18387
137,GXp8rfQSwbbq4SAEAAASS,110323,856,17515
138,GX2TRUw3Q2mk7UwEAAAH1,7224,132,3708
139,GXzWHSw7O4UvDbQEAAAAC,881,32,892
140,GXqR2lwTHZxqYwgEAAAJ4,25992,121,3687
141,GXyLz4g8tcJ28vgEAAALQ,2058,98,1345
142,GXk3eDAOGhY7CZgEAACTC,6088,290,5495
143,GXNRHzQ2l5p63mgEAAAJ1,13705,113,3302
144,GXckbEAaEOqXCPQEAAAET,855,21,567
145,GYKa4WgQm_7jCQAEAAACs,468,14,339
146,GXcoLFgq8FpuAuwEAAAOi,6771,166,4243
147,GWtoqWQDKF3STNQEAAAJV,993,56,867
148,GXs2KpAzxS8NMvwEAAAH5,499,11,335
